STABR,LIBNAME,ADDRESS,CITY,ZIP,CNTY,C_OUT_TY,HOURS,LONGITUD,LATITUDE
ME,ACTON PUBLIC LIBRARY,35 H ROAD,ACTON,4001,YORK,CE,1092,-70.9091692,43.5325522
ME,MAYHEW LIBRARY ASSN,290 WATER STREET,ADDISON,4606,WASHINGTON,CE,468,-67.7444209,44.6190807
ME,ALBION PUBLIC LIBRARY,18 MAIN STREET,ALBION,4910,KENNEBEC,CE,832,-69.4402924,44.5323761
ME,PARSONS MEMORIAL LIBRARY,27 SACO ROAD,ALFRED,4002,YORK,CE,1300,-70.7144943,43.4761873
ME,ANDOVER PUBLIC LIBRARY,46 CHURCH STREET,ANDOVER,4216,OXFORD,CE,832,-70.7512611,44.6315835
ME,STEWART PUBLIC LIBRARY,37 ELM STREET,NORTH ANSON,4958,SOMERSET,CE,624,-69.9004006,44.8551508
ME,GLADYS J. CRAIG MEMORIAL LIBRARY,57 EXCHANGE STREET,ASHLAND,4732,AROOSTOOK,CE,1404,-68.40074,46.6308593
ME,AUBURN PUBLIC LIBRARY,49 SPRING STREET,AUBURN,4210,ANDROSCOGGIN,CE,2752,-70.2288284,44.0980286
ME,LITHGOW PUBLIC LIBRARY,45 WINTHROP STREET,AUGUSTA,4330,KENNEBEC,CE,2860,-69.777838,44.3151937
ME,WOODLAND PUBLIC LIBRARY,169 MAIN STREET,BAILEYVILLE,4694,WASHINGTON,CE,1020,-67.4079904,45.1581616
ME,BROWN MEMORIAL LIBRARY - BALDWIN,2 NORTON PLACE,EAST BALDWIN,4024,CUMBERLAND,CE,780,-70.6777334,43.8022172
ME,BANGOR PUBLIC LIBRARY,145 HARLOW STREET,BANGOR,4401,PENOBSCOT,CE,2619,-68.7718676,44.8041162
ME,JESUP MEMORIAL LIBRARY,34 MOUNT DESERT STREET,BAR HARBOR,4609,HANCOCK,CE,2132,-68.2066536,44.38699
ME,PATTEN FREE LIBRARY,33 SUMMER STREET,BATH,4530,SAGADAHOC,CE,2304,-69.8148068,43.9153375
ME,BELFAST FREE LIBRARY,106 HIGH STREET,BELFAST,4915,WALDO,CE,2328,-69.0050854,44.4254109
ME,BETHEL LIBRARY ASSN.,6 BROAD STREET,BETHEL,4217,OXFORD,CE,1377,-70.7906342,44.4040901
ME,MCARTHUR PUBLIC LIBRARY,270 MAIN STREET,BIDDEFORD,4005,YORK,CE,2730,-70.4581523,43.4942223
ME,BINGHAM UNION LIBRARY,297 MAIN STREET,BINGHAM,4920,SOMERSET,CE,600,-69.8832628,45.0567917
ME,BLUE HILL PUBLIC LIBRARY,5 PARKER POINT ROAD,BLUE HILL,4614,HANCOCK,CE,2770,-68.5897517,44.4120832
ME,EAST BLUE HILL PUBLIC LIBRARY,9 CURTIS COVE ROAD,EAST BLUE HILL,4629,HANCOCK,CE,624,-68.5218613,44.4173868
ME,BOOTHBAY HARBOR MEMORIAL LIBRARY,4 OAK STREET,BOOTHBAY HARBOR,4538,LINCOLN,CE,1898,-69.6282285,43.8519
ME,BOWDOINHAM PUBLIC LIBRARY,13A SCHOOL STREET,BOWDOINHAM,4008,SAGADAHOC,CE,832,-69.8992768,44.0085656
ME,JOHN B. CURTIS FREE PUBLIC LIBRARY,435 MAIN RD,BRADFORD,4410,PENOBSCOT,CE,482,-68.9365064,45.0671151
ME,BREWER PUBLIC LIBRARY,100 SOUTH MAIN STREET,BREWER,4412,PENOBSCOT,CE,2240,-68.76755,44.7926835
ME,BRIDGTON PUBLIC LIBRARY,1 CHURCH STREET,BRIDGTON,4009,CUMBERLAND,CE,1565,-70.709614,44.0541428
ME,FRIEND MEMORIAL PUBLIC LIBRARY,1 REACH ROAD,BROOKLIN,4616,HANCOCK,CE,1732,-68.5693602,44.2661031
ME,BROOKSVILLE FREE PUBLIC LIBRARY,1 TOWN HOUSE ROAD,BROOKSVILLE,4617,HANCOCK,CE,1456,-68.7498111,44.3637984
ME,BROWNFIELD PUBLIC LIBRARY,216 MAIN STREET,BROWNFIELD,4010,OXFORD,CE,832,-70.9068779,43.9386216
ME,BROWNVILLE PUBLIC LIBRARY,27 CHURCH STREET,BROWNVILLE,4414,PISCATAQUIS,CE,666,-69.0333538,45.3068422
ME,CURTIS MEMORIAL LIBRARY,23 PLEASANT STREET,BRUNSWICK,4011,CUMBERLAND,CE,3192,-69.9672932,43.9140336
ME,CURTIS MEMORIAL LIBRARY,23 PLEASANT STREET,BRUNSWICK,4011,CUMBERLAND,BS,-1,-69.96723234,43.9140567
ME,ZADOC LONG FREE LIBRARY,5 TURNER STREET,BUCKFIELD,4220,OXFORD,CE,1456,-70.3648953,44.2895125
ME,BUCK MEMORIAL LIBRARY,47 MAIN STREET,BUCKSPORT,4416,HANCOCK,CE,1508,-68.7920117,44.5714018
ME,BERRY MEMORIAL LIBRARY,93 MAIN STREET,BAR MILLS,4004,YORK,CE,416,-70.5431348,43.6126457
ME,WEST BUXTON PUBLIC LIBRARY ASSOCIATION,34 RIVER ROAD (S.R.112),BUXTON,4093,YORK,CE,624,-70.6003481,43.6652146
ME,CALAIS FREE LIBRARY,9 UNION STREET,CALAIS,4619,WASHINGTON,CE,1872,-67.2767193,45.1893327
ME,CAMDEN PUBLIC LIBRARY,55 MAIN STREET,CAMDEN,4843,KNOX,CE,2912,-69.0648719,44.211552
ME,CANAAN PUBLIC LIBRARY,22 HINCKLEY ROAD,CANAAN,4924,SOMERSET,CE,1012,-69.5646009,44.7611092
ME,THOMAS MEMORIAL LIBRARY,6 SCOTT DYER RD.,CAPE ELIZABETH,4107,CUMBERLAND,CE,2424,-70.2295095,43.5962933
